Cluster,Top Terms
Cluster 0,"mother, murder, police, detective, help, girl, boy, finds, train, town"
Cluster 1,"man, family, world, war, finds, love, agent, help, father, mysterious"
Cluster 2,"story, american, family, true, war, police, boy, child, friends, relationship"
Cluster 3,"crew, war, world, save, plan, life, old, sent, order, new"
Cluster 4,"best, friend, new, school, relationship, train, life, earth, father, james"
Cluster 5,"crime, detective, war, son, lives, meets, man, wife, begins, work"
Cluster 6,"battle, army, war, game, detective, story, american, world, man, train"
Cluster 7,"work, way, game, american, group, agent, city, army, help, family"
Cluster 8,"life, discovers, begins, time, finds, save, family, wife, help, forced"
Cluster 9,"young, man, boy, town, trying, girl, family, world, stop, makes"
Cluster 10,"new, life, help, agent, tries, school, world, makes, finds, star"
Cluster 11,"friends, group, old, teenager, small, town, real, past, make, tries"
Cluster 12,"forces, army, forced, dangerous, city, john, trying, makes, past, family"
Cluster 13,"team, sets, sent, plan, american, fight, father, dangerous, takes, way"
Cluster 14,"people, day, real, child, sent, discover, work, james, lives, city"
Cluster 15,"york, new york, new, york city, new york city, city, sent, friends, young, group"
Cluster 16,"earth, planet, return, time, evil, world, future, james, finds, save"
Cluster 17,"group, save, child, war, man, stop, woman, young, killer, forced"
Cluster 18,"school, high, high school, forced, friend, man, discover, day, girl, goes"
Cluster 19,"woman, young, meets, man, true, love, help, future, human, daughter"
